t,x0,x1
1.41,0.9871,0.160103
1.4125,0.987498,0.157635
1.415,0.987889,0.155165
1.4175,0.988273,0.152695
1.42,0.988652,0.150224
1.4225,0.989024,0.147752
1.425,0.989391,0.145279
1.4275,0.989751,0.142805
1.43,0.990105,0.14033
1.4325,0.990453,0.137854
1.435,0.990794,0.135378
1.4375,0.991129,0.1329
1.44,0.991459,0.130422
1.4425,0.991782,0.127943
1.445,0.992098,0.125463
1.4475,0.992409,0.122983
1.45,0.992713,0.120501
1.4525,0.993011,0.118019
1.455,0.993303,0.115536
1.4575,0.993589,0.113053
1.46,0.993869,0.110568
1.4625,0.994142,0.108083
1.465,0.994409,0.105598
1.4675,0.99467,0.103111
1.47,0.994925,0.100624
1.4725,0.995173,0.0981366
1.475,0.995415,0.0956483
1.4775,0.995651,0.0931595
1.48,0.995881,0.0906701
1.4825,0.996105,0.0881801
1.485,0.996322,0.0856896
1.4875,0.996533,0.0831985
1.49,0.996738,0.0807069
1.4925,0.996937,0.0782148
1.495,0.997129,0.0757222
1.4975,0.997315,0.0732292
1.5,0.997495,0.0707356
1.5025,0.997669,0.0682417
1.505,0.997836,0.0657473
1.5075,0.997998,0.0632525
1.51,0.998153,0.0607573
1.5125,0.998301,0.0582617
1.515,0.998444,0.0557658
1.5175,0.99858,0.0532695
1.52,0.99871,0.0507729
1.5225,0.998834,0.048276
1.525,0.998952,0.0457787
1.5275,0.999063,0.0432812
1.53,0.999168,0.0407834
1.5325,0.999267,0.0382854
1.535,0.999359,0.0357871
1.5375,0.999446,0.0332886
1.54,0.999526,0.0307899
1.5425,0.9996,0.0282909
1.545,0.999667,0.0257919
1.5475,0.999729,0.0232926
1.55,0.999784,0.0207932
1.5525,0.999833,0.0182937
1.555,0.999875,0.0157941
1.5575,0.999912,0.0132943
1.56,0.999942,0.0107945
1.5625,0.999966,0.0082946
1.565,0.999983,0.00579466
1.5675,0.999995,0.00329469
1.57,1,0.000794691
1.5725,0.999999,-0.00170531
1.575,0.999991,-0.0042053
1.5775,0.999978,-0.00670527
1.58,0.999958,-0.00920519
1.5825,0.999931,-0.0117051
1.585,0.999899,-0.0142048
1.5875,0.99986,-0.0167045
1.59,0.999816,-0.0192041
1.5925,0.999764,-0.0217036
1.595,0.999707,-0.024203
1.5975,0.999643,-0.0267022
1.6,0.999574,-0.0292012
1.6025,0.999497,-0.0317
1.605,0.999415,-0.0341987
1.6075,0.999326,-0.0366971
1.61,0.999232,-0.0391953
1.6125,0.99913,-0.0416933
1.615,0.999023,-0.044191
1.6175,0.99891,-0.0466884
1.62,0.99879,-0.0491855
1.6225,0.998664,-0.0516823
1.625,0.998531,-0.0541788
1.6275,0.998393,-0.056675
1.63,0.998248,-0.0591708
1.6325,0.998097,-0.0616662
1.635,0.99794,-0.0641613
1.6375,0.997776,-0.0666559
1.64,0.997606,-0.0691502
1.6425,0.99743,-0.071644
1.645,0.997248,-0.0741373
1.6475,0.99706,-0.0766302
1.65,0.996865,-0.0791226
1.6525,0.996664,-0.0816145
1.655,0.996457,-0.0841059
1.6575,0.996243,-0.0865968
1.66,0.996024,-0.0890871
1.6625,0.995798,-0.0915769
1.665,0.995566,-0.0940661
1.6675,0.995328,-0.0965548
1.67,0.995083,-0.0990428
1.6725,0.994832,-0.10153
1.675,0.994576,-0.104017
1.6775,0.994312,-0.106503
1.68,0.994043,-0.108988
1.6825,0.993767,-0.111473
1.685,0.993486,-0.113957
1.6875,0.993198,-0.116441
1.69,0.992903,-0.118923
1.6925,0.992603,-0.121405
1.695,0.992296,-0.123886
1.6975,0.991984,-0.126367
1.7,0.991665,-0.128846
1.7025,0.991339,-0.131325
1.705,0.991008,-0.133803
1.7075,0.99067,-0.13628
1.71,0.990327,-0.138756
1.7125,0.989977,-0.141232
1.715,0.98962,-0.143706
1.7175,0.989258,-0.14618
1.72,0.98889,-0.148652
1.7225,0.988515,-0.151124
1.725,0.988134,-0.153595
1.7275,0.987747,-0.156065
1.73,0.987354,-0.158534
1.7325,0.986954,-0.161002
1.735,0.986549,-0.163469
1.7375,0.986137,-0.165934
1.74,0.985719,-0.168399
1.7425,0.985295,-0.170863
1.745,0.984865,-0.173326
1.7475,0.984428,-0.175787
1.75,0.983986,-0.178248
1.7525,0.983537,-0.180707
1.755,0.983082,-0.183166
1.7575,0.982621,-0.185623
1.76,0.982154,-0.188079
1.7625,0.981681,-0.190533
1.765,0.981201,-0.192987
1.7675,0.980716,-0.195439
1.77,0.980224,-0.197891
1.7725,0.979726,-0.200341
1.775,0.979222,-0.202789
1.7775,0.978712,-0.205237
1.78,0.978196,-0.207683
1.7825,0.977674,-0.210128
1.785,0.977146,-0.212571
1.7875,0.976611,-0.215013
1.79,0.976071,-0.217454
1.7925,0.975524,-0.219894
1.795,0.974971,-0.222332
1.7975,0.974412,-0.224769
1.8,0.973847,-0.227204
1.8025,0.973276,-0.229638
1.805,0.972699,-0.23207
1.8075,0.972116,-0.234501
1.81,0.971527,-0.236931
1.8125,0.970931,-0.239359
1.815,0.97033,-0.241786
1.8175,0.969722,-0.244211
1.82,0.969109,-0.246634
1.8225,0.968489,-0.249056
1.825,0.967863,-0.251477
1.8275,0.967232,-0.253895
1.83,0.966594,-0.256313
1.8325,0.96595,-0.258728
1.835,0.9653,-0.261143
1.8375,0.964644,-0.263555
1.84,0.963982,-0.265966
1.8425,0.963315,-0.268375
1.845,0.962641,-0.270782
1.8475,0.961961,-0.273188
1.85,0.961275,-0.275592
1.8525,0.960583,-0.277994
1.855,0.959885,-0.280395
1.8575,0.959181,-0.282794
1.86,0.958471,-0.285191
1.8625,0.957755,-0.287586
1.865,0.957033,-0.28998
1.8675,0.956305,-0.292371
1.87,0.955571,-0.294761
1.8725,0.954831,-0.297149
1.875,0.954085,-0.299535
1.8775,0.953333,-0.30192
1.88,0.952576,-0.304302
1.8825,0.951812,-0.306683
1.885,0.951042,-0.309061
1.8875,0.950267,-0.311438
1.89,0.949485,-0.313812
1.8925,0.948698,-0.316185
1.895,0.947904,-0.318556
1.8975,0.947105,-0.320925
1.9,0.946299,-0.323291
1.9025,0.945488,-0.325656
1.905,0.944671,-0.328019
1.9075,0.943848,-0.33038
1.91,0.943019,-0.332738
1.9125,0.942184,-0.335095
1.915,0.941344,-0.337449
1.9175,0.940497,-0.339801
1.92,0.939645,-0.342152
1.9225,0.938786,-0.3445
1.925,0.937922,-0.346845
1.9275,0.937052,-0.349189
1.93,0.936176,-0.351531
1.9325,0.935295,-0.35387
1.935,0.934407,-0.356207
1.9375,0.933514,-0.358542
1.94,0.932614,-0.360875
1.9425,0.931709,-0.363205
1.945,0.930798,-0.365533
1.9475,0.929882,-0.367859
1.95,0.928959,-0.370183
1.9525,0.928031,-0.372504
1.955,0.927096,-0.374823
1.9575,0.926156,-0.377139
1.96,0.925211,-0.379454
1.9625,0.924259,-0.381765
1.965,0.923302,-0.384075
1.9675,0.922339,-0.386382
1.97,0.92137,-0.388687
1.9725,0.920395,-0.390989
1.975,0.919415,-0.393289
1.9775,0.918429,-0.395586
1.98,0.917437,-0.397881
1.9825,0.91644,-0.400173
1.985,0.915436,-0.402463
1.9875,0.914427,-0.40475
1.99,0.913413,-0.407035
1.9925,0.912392,-0.409317
1.995,0.911366,-0.411597
1.9975,0.910334,-0.413874
2,0.909297,-0.416149
2.0025,0.908253,-0.418421
2.005,0.907204,-0.42069
2.0075,0.90615,-0.422957
2.01,0.90509,-0.425221
2.0125,0.904024,-0.427482
2.015,0.902952,-0.429741
2.0175,0.901875,-0.431997
2.02,0.900792,-0.43425
2.0225,0.899704,-0.436501
2.025,0.89861,-0.438749
2.0275,0.89751,-0.440994
2.03,0.896405,-0.443236
2.0325,0.895294,-0.445476
2.035,0.894177,-0.447713
2.0375,0.893055,-0.449947
2.04,0.891928,-0.452178
2.0425,0.890794,-0.454406
2.045,0.889656,-0.456632
2.0475,0.888511,-0.458855
2.05,0.887361,-0.461075
2.0525,0.886206,-0.463292
2.055,0.885045,-0.465506
2.0575,0.883878,-0.467717
2.06,0.882706,-0.469925
2.0625,0.881529,-0.47213
2.065,0.880346,-0.474333
2.0675,0.879157,-0.476532
2.07,0.877963,-0.478728
2.0725,0.876763,-0.480922
2.075,0.875558,-0.483112
2.0775,0.874348,-0.4853
2.08,0.873132,-0.487484
2.0825,0.87191,-0.489665
2.085,0.870684,-0.491844
2.0875,0.869451,-0.494019
2.09,0.868214,-0.496191
2.0925,0.86697,-0.49836
2.095,0.865722,-0.500526
2.0975,0.864468,-0.502688
2.1,0.863208,-0.504848
2.1025,0.861943,-0.507004
2.105,0.860673,-0.509158
2.1075,0.859398,-0.511308
2.11,0.858117,-0.513455
2.1125,0.85683,-0.515598
2.115,0.855539,-0.517739
2.1175,0.854242,-0.519876
2.12,0.852939,-0.52201
2.1225,0.851632,-0.524141
2.125,0.850319,-0.526268
2.1275,0.849,-0.528392
2.13,0.847677,-0.530513
2.1325,0.846348,-0.532631
2.135,0.845014,-0.534745
2.1375,0.843674,-0.536856
2.14,0.842329,-0.538963
2.1425,0.840979,-0.541067
2.145,0.839624,-0.543168
2.1475,0.838263,-0.545266
2.15,0.836898,-0.54736
2.1525,0.835527,-0.54945
2.155,0.83415,-0.551537
2.1575,0.832769,-0.553621
2.16,0.831382,-0.555701
2.1625,0.82999,-0.557778
2.165,0.828593,-0.559851
2.1675,0.827191,-0.561921
2.17,0.825784,-0.563987
2.1725,0.824371,-0.56605
2.175,0.822953,-0.568109
2.1775,0.821531,-0.570164
2.18,0.820103,-0.572216
2.1825,0.81867,-0.574265
2.185,0.817231,-0.57631
2.1875,0.815788,-0.578351
2.19,0.81434,-0.580389
2.1925,0.812886,-0.582423
2.195,0.811427,-0.584453
2.1975,0.809964,-0.58648
2.2,0.808495,-0.588503
2.2025,0.807021,-0.590522
2.205,0.805542,-0.592538
2.2075,0.804059,-0.59455
2.21,0.80257,-0.596558
2.2125,0.801076,-0.598563
2.215,0.799577,-0.600564
2.2175,0.798073,-0.602561
2.22,0.796564,-0.604554
2.2225,0.79505,-0.606544
2.225,0.793531,-0.608529
2.2275,0.792008,-0.610511
2.23,0.790479,-0.612489
2.2325,0.788945,-0.614464
2.235,0.787406,-0.616434
2.2375,0.785863,-0.618401
2.24,0.784314,-0.620363
2.2425,0.782761,-0.622322
2.245,0.781203,-0.624277
2.2475,0.77964,-0.626228
2.25,0.778072,-0.628175
2.2525,0.776499,-0.630119
2.255,0.774921,-0.632058
2.2575,0.773339,-0.633993
2.26,0.771751,-0.635925
2.2625,0.770159,-0.637852
2.265,0.768562,-0.639775
2.2675,0.76696,-0.641695
2.27,0.765353,-0.64361
2.2725,0.763742,-0.645522
2.275,0.762126,-0.647429
2.2775,0.760505,-0.649332
2.28,0.758879,-0.651231
2.2825,0.757249,-0.653127
2.285,0.755614,-0.655018
2.2875,0.753974,-0.656905
2.29,0.752329,-0.658788
2.2925,0.75068,-0.660666
2.295,0.749026,-0.662541
2.2975,0.747367,-0.664411
2.3,0.745704,-0.666278
2.3025,0.744036,-0.66814
2.305,0.742363,-0.669998
2.3075,0.740686,-0.671852
2.31,0.739004,-0.673701
2.3125,0.737317,-0.675547
2.315,0.735626,-0.677388
2.3175,0.73393,-0.679225
2.32,0.73223,-0.681058
2.3225,0.730525,-0.682886
2.325,0.728815,-0.68471
2.3275,0.727101,-0.68653
2.33,0.725383,-0.688346
2.3325,0.72366,-0.690157
2.335,0.721932,-0.691964
